StockCode,TotalRevenue,TotalQuantity,PurchaseFrequency,UniqueCustomers,ReturnRate,SalesRevenue,ReturnLoss,NetRevenue,Cluster,Category,Insight
23114,669.15,141,43,40,2,684,-14.85,669.15,0,Low Demand,✅ Profitable Product
23115,698.85,147,38,38,0,698.85,0,698.85,0,Low Demand,✅ Profitable Product
23116,327.6,72,17,17,0,327.6,0,327.6,0,Low Demand,✅ Profitable Product
23117,415.8,84,40,39,1,420.75,-4.95,415.8,0,Low Demand,✅ Profitable Product
23118,5219.02,741,242,154,17,5399.02,-180,5219.02,2,Hidden Loss,✅ Profitable Product
23119,1254.01,2120,118,97,2,1276.33,-22.32,1254.01,0,Low Demand,✅ Profitable Product
23120,627.36,1576,81,69,2,657.6,-30.24,627.36,0,Low Demand,✅ Profitable Product
23121,960.42,2465,87,81,0,960.42,0,960.42,0,Low Demand,✅ Profitable Product
23122,1551.82,2090,96,90,2,1554.31,-2.49,1551.82,0,Low Demand,✅ Profitable Product
23123,701.1,894,70,64,2,706.08,-4.98,701.1,0,Low Demand,✅ Profitable Product
23124,595.15,503,24,23,0,595.15,0,595.15,0,Low Demand,✅ Profitable Product
23125,443.25,405,16,15,0,443.25,0,443.25,0,Low Demand,✅ Profitable Product
23126,5217.83,1073,277,198,6,5297.03,-79.2,5217.83,2,Hidden Loss,✅ Profitable Product
23127,3446.99,701,185,146,3,3511.34,-64.35,3446.99,2,Hidden Loss,✅ Profitable Product
23128,2075.23,429,131,112,2,2109.88,-34.65,2075.23,0,Low Demand,✅ Profitable Product
23129,3929.03,941,166,138,1,3933.18,-4.15,3929.03,2,Hidden Loss,✅ Profitable Product
23130,3711.07,909,169,139,2,3748.42,-37.35,3711.07,2,Hidden Loss,✅ Profitable Product
23131,3611.88,888,110,91,2,3636.78,-24.9,3611.88,0,Low Demand,✅ Profitable Product
23132,5046.58,1018,144,115,3,5069.58,-23,5046.58,2,Hidden Loss,✅ Profitable Product
23133,5134.66,758,135,94,1,5142.91,-8.25,5134.66,0,Low Demand,✅ Profitable Product
23134,6414.48,1064,37,29,0,6414.48,0,6414.48,0,Low Demand,✅ Profitable Product
23135,5378.8,1538,42,31,0,5378.8,0,5378.8,0,Low Demand,✅ Profitable Product
23136,467.05,127,44,39,0,467.05,0,467.05,0,Low Demand,✅ Profitable Product
23137,253.24,80,20,18,0,253.24,0,253.24,0,Low Demand,✅ Profitable Product
23138,1191.75,863,76,60,1,1209.15,-17.4,1191.75,0,Low Demand,✅ Profitable Product
23139,486.43,395,23,20,1,503.83,-17.4,486.43,0,Low Demand,✅ Profitable Product
23140,608.74,148,36,29,1,658.54,-49.8,608.74,0,Low Demand,✅ Profitable Product
23141,215,68,18,18,0,215,0,215,0,Low Demand,✅ Profitable Product
23142,1118.1,114,38,34,2,1137.65,-19.55,1118.1,0,Low Demand,✅ Profitable Product
23143,156.8,25,12,12,0,156.8,0,156.8,0,Low Demand,📉 Low Performance
23144,3843.46,4850,240,180,3,3879.98,-36.52,3843.46,2,Hidden Loss,✅ Profitable Product
23145,1908.89,2043,152,128,2,1919.34,-10.45,1908.89,0,Low Demand,✅ Profitable Product
23146,2371.79,731,233,151,22,2535.89,-164.1,2371.79,2,Hidden Loss,⚠️ High Return Risk
23147,2651.1,1830,256,170,6,2672.85,-21.75,2651.1,2,Hidden Loss,✅ Profitable Product
23148,1745.71,2105,241,143,7,1756.5,-10.79,1745.71,2,Hidden Loss,✅ Profitable Product
23149,214.14,86,21,18,2,241.53,-27.39,214.14,0,Low Demand,✅ Profitable Product
23150,343.62,138,41,33,1,346.11,-2.49,343.62,0,Low Demand,✅ Profitable Product
23151,106.9,60,19,18,0,106.9,0,106.9,0,Low Demand,📉 Low Performance
23152,1987.26,538,152,108,3,2013.51,-26.25,1987.26,0,Low Demand,✅ Profitable Product
23153,908.63,244,79,67,1,923.63,-15,908.63,0,Low Demand,✅ Profitable Product
23154,4859.61,2411,217,141,3,4986.49,-126.88,4859.61,2,Hidden Loss,✅ Profitable Product
23155,1549.63,1937,125,84,14,1679.34,-129.71,1549.63,2,Hidden Loss,⚠️ High Return Risk
23156,3261.86,1614,186,117,2,3311.78,-49.92,3261.86,2,Hidden Loss,✅ Profitable Product
23157,4614.59,2303,146,111,1,5058.59,-444,4614.59,2,Hidden Loss,✅ Profitable Product
23158,4996.68,2478,190,96,3,5121.48,-124.8,4996.68,2,Hidden Loss,✅ Profitable Product
23159,4568.97,2258,198,121,3,4620.97,-52,4568.97,2,Hidden Loss,✅ Profitable Product
23160,1659.3,1398,62,50,2,1666.8,-7.5,1659.3,0,Low Demand,✅ Profitable Product
23161,1881.6,1596,69,58,1,1896.6,-15,1881.6,0,Low Demand,✅ Profitable Product
23162,4789.24,1362,142,96,0,4789.24,0,4789.24,0,Low Demand,✅ Profitable Product
23163,3835.3,1659,136,95,2,3949.7,-114.4,3835.3,0,Low Demand,✅ Profitable Product
23164,2574.26,563,81,70,1,2579.21,-4.95,2574.26,0,Low Demand,✅ Profitable Product
23165,4470,2852,238,167,18,4624.5,-154.5,4470,2,Hidden Loss,⚠️ High Return Risk
23166,3937.09,3422,205,138,10,81416.73,-77479.64,3937.09,2,Hidden Loss,✅ Profitable Product
23167,3818.99,5141,186,129,9,4184.18,-365.19,3818.99,2,Hidden Loss,✅ Profitable Product
23168,3220.06,2796,238,140,18,3285.67,-65.61,3220.06,2,Hidden Loss,⚠️ High Return Risk
23169,5458.8,1360,296,203,34,5837.95,-379.15,5458.8,2,Hidden Loss,✅ Profitable Product
23170,9144.49,5857,340,225,12,10190.79,-1046.3,9144.49,2,Hidden Loss,✅ Profitable Product
23171,9038.65,5869,275,195,5,9184.9,-146.25,9038.65,2,Hidden Loss,✅ Profitable Product
23172,5638.98,3586,233,160,9,5793.28,-154.3,5638.98,2,Hidden Loss,✅ Profitable Product
23173,22636.92,2614,367,248,13,23073.32,-436.4,22636.92,1,Stable,✅ Profitable Product
23174,11230.34,2868,285,192,17,11575.54,-345.2,11230.34,2,Hidden Loss,✅ Profitable Product
23175,8782.5,2986,283,206,11,9008,-225.5,8782.5,2,Hidden Loss,✅ Profitable Product
23176,4276.51,2045,196,159,10,4377.76,-101.25,4276.51,2,Hidden Loss,✅ Profitable Product
23177,4991.55,2411,219,174,5,5036.55,-45,4991.55,2,Hidden Loss,✅ Profitable Product
23178,831.05,307,58,50,3,845.5,-14.45,831.05,0,Low Demand,✅ Profitable Product
23179,837.88,304,40,36,0,837.88,0,837.88,0,Low Demand,✅ Profitable Product
23180,466.95,103,37,29,1,471.9,-4.95,466.95,0,Low Demand,✅ Profitable Product
23181,1451.25,181,73,60,4,1484.25,-33,1451.25,0,Low Demand,✅ Profitable Product
23182,2825.95,3400,260,140,6,2837.57,-11.62,2825.95,2,Hidden Loss,✅ Profitable Product
23183,664.46,171,60,45,2,690.71,-26.25,664.46,0,Low Demand,✅ Profitable Product
23184,3685.15,765,201,129,4,3749.5,-64.35,3685.15,2,Hidden Loss,✅ Profitable Product
23185,116.3,322,31,27,1,116.59,-0.29,116.3,0,Low Demand,📉 Low Performance
23186,810.22,1970,72,57,2,819.46,-9.24,810.22,0,Low Demand,✅ Profitable Product
23187,678.57,2301,78,66,4,695.06,-16.49,678.57,0,Low Demand,✅ Profitable Product
23188,5080.36,3084,285,207,3,5103.46,-23.1,5080.36,2,Hidden Loss,✅ Profitable Product
23189,3316.46,1214,114,89,1,3319.35,-2.89,3316.46,0,Low Demand,✅ Profitable Product
23190,2687.84,1676,181,146,2,2691.14,-3.3,2687.84,2,Hidden Loss,✅ Profitable Product
23191,3515.45,2173,247,182,2,3520.4,-4.95,3515.45,2,Hidden Loss,✅ Profitable Product
23192,5220.27,3283,314,224,2,5225.22,-4.95,5220.27,2,Hidden Loss,✅ Profitable Product
23193,3723.57,1835,143,109,6,3768.57,-45,3723.57,2,Hidden Loss,✅ Profitable Product
23194,3605.42,1717,178,142,8,3688.67,-83.25,3605.42,2,Hidden Loss,✅ Profitable Product
23196,2465.95,1747,236,170,3,2484.8,-18.85,2465.95,2,Hidden Loss,✅ Profitable Product
23197,1934.79,1343,190,116,7,1971.04,-36.25,1934.79,2,Hidden Loss,✅ Profitable Product
23198,4254.19,3003,388,259,14,4346.99,-92.8,4254.19,2,Hidden Loss,⚠️ High Return Risk
23199,25142.01,13164,739,344,21,26451.26,-1309.25,25142.01,1,Stable,✅ Profitable Product
23200,12799.61,6599,476,262,6,13043.24,-243.63,12799.61,2,Hidden Loss,✅ Profitable Product
23201,23098.98,11946,766,396,14,24175,-1076.02,23098.98,1,Stable,✅ Profitable Product
23202,20521.47,10474,778,377,6,20963.93,-442.46,20521.47,1,Stable,✅ Profitable Product
23203,36607.98,18926,1097,505,17,37684.38,-1076.4,36607.98,1,Stable,✅ Profitable Product
23204,5493.81,6853,433,199,8,5632.15,-138.34,5493.81,2,Hidden Loss,✅ Profitable Product
23205,3966.47,4961,353,201,8,4106.72,-140.25,3966.47,2,Hidden Loss,✅ Profitable Product
23206,18182.75,11507,878,401,12,18278.25,-95.5,18182.75,1,Stable,✅ Profitable Product
23207,11369.46,7106,660,377,13,12029.06,-659.6,11369.46,1,Stable,✅ Profitable Product
23208,9896.6,6152,601,305,4,10006.45,-109.85,9896.6,2,Hidden Loss,✅ Profitable Product
23209,20751.76,12964,1017,469,11,20817.56,-65.8,20751.76,1,Stable,✅ Profitable Product
23210,3157.99,2603,158,115,4,3377.75,-219.76,3157.99,2,Hidden Loss,✅ Profitable Product
23211,2604,2184,117,82,1,2634,-30,2604,0,Low Demand,✅ Profitable Product
23212,2507.63,2119,148,104,3,2582.63,-75,2507.63,0,Low Demand,✅ Profitable Product
23213,1908.19,1583,122,95,1,1923.19,-15,1908.19,0,Low Demand,✅ Profitable Product
23214,1635.23,777,92,79,0,1635.23,0,1635.23,0,Low Demand,✅ Profitable Product
23215,6747.24,3427,198,162,1,6962.04,-214.8,6747.24,2,Hidden Loss,✅ Profitable Product
23216,613.51,518,40,32,0,613.51,0,613.51,0,Low Demand,✅ Profitable Product
23217,1567,1290,84,64,0,1567,0,1567,0,Low Demand,✅ Profitable Product
23218,465.81,372,33,27,0,465.81,0,465.81,0,Low Demand,✅ Profitable Product
23219,504.6,404,49,41,0,504.6,0,504.6,0,Low Demand,✅ Profitable Product
23220,775.26,930,77,55,0,775.26,0,775.26,0,Low Demand,✅ Profitable Product
23221,1193.45,1403,113,85,4,1241.59,-48.14,1193.45,0,Low Demand,✅ Profitable Product
23222,680.68,764,65,49,1,690.64,-9.96,680.68,0,Low Demand,✅ Profitable Product
23223,671.77,747,67,51,0,671.77,0,671.77,0,Low Demand,✅ Profitable Product
23224,608.83,705,61,44,2,620.45,-11.62,608.83,0,Low Demand,✅ Profitable Product
23225,1030.67,1225,72,46,3,1090.43,-59.76,1030.67,0,Low Demand,✅ Profitable Product
23226,1418.59,1151,72,56,1,1478.59,-60,1418.59,0,Low Demand,✅ Profitable Product
23227,1939.56,1586,89,61,2,1947.06,-7.5,1939.56,0,Low Demand,✅ Profitable Product
23228,1576.54,1253,79,58,1,1726.3,-149.76,1576.54,0,Low Demand,✅ Profitable Product
23229,6295.54,1793,224,187,5,6336.43,-40.89,6295.54,2,Hidden Loss,✅ Profitable Product
23230,3186,7900,234,178,2,3207,-21,3186,2,Hidden Loss,✅ Profitable Product
23231,2986.5,7225,257,190,0,2986.5,0,2986.5,2,Hidden Loss,✅ Profitable Product
23232,3457.5,8575,241,188,3,3478.92,-21.42,3457.5,2,Hidden Loss,✅ Profitable Product
23233,2095,5150,159,130,1,2105.5,-10.5,2095,2,Hidden Loss,✅ Profitable Product
23234,4529.81,1619,237,201,5,4576.05,-46.24,4529.81,2,Hidden Loss,✅ Profitable Product
23235,1862.23,715,103,89,7,1902.69,-40.46,1862.23,0,Low Demand,✅ Profitable Product
23236,6732.94,2426,301,203,17,6828.31,-95.37,6732.94,2,Hidden Loss,✅ Profitable Product
23237,4142.85,1027,179,131,10,4212.2,-69.35,4142.85,2,Hidden Loss,✅ Profitable Product
23238,7105,1772,241,150,8,7170.6,-65.6,7105,2,Hidden Loss,✅ Profitable Product
23239,3072.25,795,164,125,9,3188.05,-115.8,3072.25,2,Hidden Loss,✅ Profitable Product
23240,16225.55,4053,502,323,17,16432.25,-206.7,16225.55,1,Stable,✅ Profitable Product
23241,4084.96,2017,289,183,5,4099.52,-14.56,4084.96,2,Hidden Loss,✅ Profitable Product
23242,2842.4,1409,190,132,3,2898.56,-56.16,2842.4,2,Hidden Loss,✅ Profitable Product
23243,21598.18,4548,419,275,34,22133.83,-535.65,21598.18,1,Stable,✅ Profitable Product
23244,1675.96,916,110,87,5,1692.91,-16.95,1675.96,0,Low Demand,✅ Profitable Product
23245,26204.18,5766,755,472,37,26625.68,-421.5,26204.18,1,Stable,✅ Profitable Product
23247,5676.66,2014,276,231,5,5795.2,-118.54,5676.66,2,Hidden Loss,✅ Profitable Product
23249,1206.79,747,75,57,7,1294.5,-87.71,1206.79,0,Low Demand,✅ Profitable Product
23250,1216.79,982,97,64,8,1358.59,-141.8,1216.79,0,Low Demand,✅ Profitable Product
23251,1884.2,1588,107,80,5,1956.7,-72.5,1884.2,0,Low Demand,✅ Profitable Product
23252,2044.59,557,132,104,7,2168.34,-123.75,2044.59,0,Low Demand,✅ Profitable Product
23253,3050.2,212,49,44,2,3082.1,-31.9,3050.2,0,Low Demand,✅ Profitable Product
23254,6621,1644,284,204,8,6704,-83,6621,2,Hidden Loss,✅ Profitable Product
23255,3819.24,954,146,116,3,3856.59,-37.35,3819.24,0,Low Demand,✅ Profitable Product
23256,7785.78,1930,332,232,8,8123.78,-338,7785.78,2,Hidden Loss,✅ Profitable Product
23263,4770.33,3700,394,269,5,4829.08,-58.75,4770.33,2,Hidden Loss,✅ Profitable Product
23264,2399.2,1844,250,177,1,2400.45,-1.25,2399.2,2,Hidden Loss,✅ Profitable Product
23265,2153.71,1665,248,180,2,2172.46,-18.75,2153.71,2,Hidden Loss,✅ Profitable Product
23266,2528.39,1963,275,201,1,2543.39,-15,2528.39,2,Hidden Loss,✅ Profitable Product
23267,1367.34,1110,92,79,1,1427.34,-60,1367.34,0,Low Demand,✅ Profitable Product
23268,1964.23,1423,79,68,1,1981.63,-17.4,1964.23,0,Low Demand,✅ Profitable Product
23269,1075.55,755,76,63,0,1075.55,0,1075.55,0,Low Demand,✅ Profitable Product
23270,1617.2,1160,119,96,1,1625.9,-8.7,1617.2,0,Low Demand,✅ Profitable Product
23271,1316.82,1622,75,69,0,1316.82,0,1316.82,0,Low Demand,✅ Profitable Product
23272,522.74,352,35,34,0,522.74,0,522.74,0,Low Demand,✅ Profitable Product
23273,1527.24,924,101,88,4,1533.84,-6.6,1527.24,0,Low Demand,✅ Profitable Product
23274,1870.11,1139,101,85,3,1875.06,-4.95,1870.11,0,Low Demand,✅ Profitable Product
23275,4232.01,3565,274,171,4,4327.42,-95.41,4232.01,2,Hidden Loss,✅ Profitable Product
23280,1545.25,1993,134,88,1,1546.91,-1.66,1545.25,0,Low Demand,✅ Profitable Product
23281,976.22,1270,91,56,0,976.22,0,976.22,0,Low Demand,✅ Profitable Product
23282,612.72,753,102,67,0,612.72,0,612.72,0,Low Demand,✅ Profitable Product
23283,6542.82,960,211,146,2,6600.27,-57.45,6542.82,2,Hidden Loss,✅ Profitable Product
23284,34312.6,5117,655,378,7,35913.85,-1601.25,34312.6,1,Stable,✅ Profitable Product
23285,4383.13,4677,133,108,1,4384.83,-1.7,4383.13,2,Hidden Loss,✅ Profitable Product
23286,4486.64,4852,167,126,3,4528.29,-41.65,4486.64,2,Hidden Loss,✅ Profitable Product
23287,1408.95,1731,148,115,2,1452.3,-43.35,1408.95,0,Low Demand,✅ Profitable Product
23288,4246.72,4487,138,107,4,4261.89,-15.17,4246.72,2,Hidden Loss,✅ Profitable Product
23289,1839.85,1541,145,111,4,1854.85,-15,1839.85,0,Low Demand,✅ Profitable Product
23290,2744.65,2357,176,125,2,2757.15,-12.5,2744.65,2,Hidden Loss,✅ Profitable Product
23291,1868.89,1539,147,104,3,1881.39,-12.5,1868.89,0,Low Demand,✅ Profitable Product
23292,2461.37,2061,170,113,6,2487.62,-26.25,2461.37,2,Hidden Loss,✅ Profitable Product
23293,6442.89,8211,470,323,5,6469.45,-26.56,6442.89,2,Hidden Loss,✅ Profitable Product
23294,3349.39,4279,295,214,4,3360.18,-10.79,3349.39,2,Hidden Loss,✅ Profitable Product
23295,4664.82,5950,364,250,5,4675.61,-10.79,4664.82,2,Hidden Loss,✅ Profitable Product
23296,5653.4,4852,325,243,6,5687.15,-33.75,5653.4,2,Hidden Loss,✅ Profitable Product
23297,6634.1,4234,144,123,4,6677,-42.9,6634.1,2,Hidden Loss,✅ Profitable Product
23298,35691.14,7675,1021,573,12,36173.95,-482.81,35691.14,1,Stable,✅ Profitable Product
23299,3537.67,975,124,110,2,3567.67,-30,3537.67,0,Low Demand,✅ Profitable Product
23300,9731.79,6151,642,351,7,9963.39,-231.6,9731.79,2,Hidden Loss,✅ Profitable Product
23301,12324.58,7626,767,405,11,12493.48,-168.9,12324.58,1,Stable,✅ Profitable Product
23302,1939.67,1445,192,140,5,1993.91,-54.24,1939.67,2,Hidden Loss,✅ Profitable Product
23303,126.75,65,6,6,0,126.75,0,126.75,0,Low Demand,📉 Low Performance
23304,138.45,71,9,9,0,138.45,0,138.45,0,Low Demand,📉 Low Performance
23305,159.9,82,9,9,0,159.9,0,159.9,0,Low Demand,📉 Low Performance
23306,3809.79,2685,211,182,2,3819.94,-10.15,3809.79,2,Hidden Loss,✅ Profitable Product
23307,5933.69,11587,509,366,5,5982.09,-48.4,5933.69,2,Hidden Loss,✅ Profitable Product
23308,3098.21,5967,305,209,0,3098.21,0,3098.21,2,Hidden Loss,✅ Profitable Product
23309,3680.65,7639,298,178,5,3729.05,-48.4,3680.65,2,Hidden Loss,✅ Profitable Product
23310,4894.83,11891,213,146,0,4894.83,0,4894.83,2,Hidden Loss,✅ Profitable Product
23311,5541.3,2190,284,246,3,5564.25,-22.95,5541.3,2,Hidden Loss,✅ Profitable Product
23312,5523,1364,194,168,1,5527.15,-4.15,5523,2,Hidden Loss,✅ Profitable Product
23313,12930.42,2742,361,254,2,12994.77,-64.35,12930.42,2,Hidden Loss,✅ Profitable Product
23314,4601.02,388,106,87,2,4663.52,-62.5,4601.02,0,Low Demand,✅ Profitable Product
23315,1796.9,190,77,63,1,1894.7,-97.8,1796.9,0,Low Demand,✅ Profitable Product
23316,2212.25,235,96,75,1,2222.2,-9.95,2212.25,0,Low Demand,✅ Profitable Product
23317,1557.9,162,70,56,0,1557.9,0,1557.9,0,Low Demand,✅ Profitable Product
23318,7981.7,3479,336,270,7,8350.41,-368.71,7981.7,2,Hidden Loss,✅ Profitable Product
23319,7971.82,3423,371,300,6,8216.79,-244.97,7971.82,2,Hidden Loss,✅ Profitable Product
23320,6888.54,2622,312,260,2,6926.11,-37.57,6888.54,2,Hidden Loss,✅ Profitable Product
23321,6768.48,4244,586,378,4,6832.83,-64.35,6768.48,2,Hidden Loss,✅ Profitable Product
23322,8014.85,2845,521,350,10,8184.7,-169.85,8014.85,2,Hidden Loss,✅ Profitable Product
23323,2956.8,1423,273,210,3,2963.1,-6.3,2956.8,2,Hidden Loss,✅ Profitable Product
23324,702.89,346,41,38,2,770.4,-67.51,702.89,0,Low Demand,✅ Profitable Product
23325,671.7,426,33,27,3,701.4,-29.7,671.7,0,Low Demand,✅ Profitable Product
23326,2000.22,3370,55,52,0,2000.22,0,2000.22,0,Low Demand,✅ Profitable Product
23327,1007.3,1702,36,33,2,1012.02,-4.72,1007.3,0,Low Demand,✅ Profitable Product
23328,7480.65,2059,286,195,5,7510.29,-29.64,7480.65,2,Hidden Loss,✅ Profitable Product
23329,2807.85,1709,216,168,1,2812.8,-4.95,2807.85,2,Hidden Loss,✅ Profitable Product
23330,2186.19,1755,196,158,1,2193.69,-7.5,2186.19,2,Hidden Loss,✅ Profitable Product
23331,932.28,1492,81,67,0,932.28,0,932.28,0,Low Demand,✅ Profitable Product
23332,3280.5,1994,268,207,1,3283.8,-3.3,3280.5,2,Hidden Loss,✅ Profitable Product
23333,2509.9,2018,217,179,1,2524.9,-15,2509.9,2,Hidden Loss,✅ Profitable Product
23334,1345.5,2154,95,83,0,1345.5,0,1345.5,0,Low Demand,✅ Profitable Product
23335,699.68,347,83,62,2,724.64,-24.96,699.68,0,Low Demand,✅ Profitable Product
23336,418.05,200,63,46,0,418.05,0,418.05,0,Low Demand,✅ Profitable Product
23337,351.52,169,60,49,0,351.52,0,351.52,0,Low Demand,✅ Profitable Product
23338,807.84,399,92,62,1,820.32,-12.48,807.84,0,Low Demand,✅ Profitable Product
23339,312,150,58,43,0,312,0,312,0,Low Demand,✅ Profitable Product
23340,3899.25,2465,122,112,0,3899.25,0,3899.25,0,Low Demand,✅ Profitable Product
23341,2325.6,282,98,75,0,2325.6,0,2325.6,0,Low Demand,✅ Profitable Product
23342,3060,366,156,105,1,3068.5,-8.5,3060,0,Low Demand,✅ Profitable Product
23343,9242.66,4637,392,286,7,9748.34,-505.68,9242.66,2,Hidden Loss,✅ Profitable Product
23344,17192.76,8692,593,391,7,17679.72,-486.96,17192.76,1,Stable,✅ Profitable Product
23345,2750.75,2391,135,101,2,2759.5,-8.75,2750.75,0,Low Demand,✅ Profitable Product
23346,2968.25,2565,139,106,1,2975.75,-7.5,2968.25,0,Low Demand,✅ Profitable Product
23347,957.25,793,73,51,3,999.75,-42.5,957.25,0,Low Demand,✅ Profitable Product
23348,1324.22,657,130,95,8,1371.48,-47.26,1324.22,0,Low Demand,✅ Profitable Product
23349,3447.89,2845,247,214,1,3462.89,-15,3447.89,2,Hidden Loss,✅ Profitable Product
23350,3150.65,2581,247,205,1,3165.65,-15,3150.65,2,Hidden Loss,✅ Profitable Product
23351,3609.14,2974,273,242,2,3699.02,-89.88,3609.14,2,Hidden Loss,✅ Profitable Product
23352,1964.76,1596,162,151,0,1964.76,0,1964.76,0,Low Demand,✅ Profitable Product
23353,3066.33,3723,254,227,1,3076.29,-9.96,3066.33,2,Hidden Loss,✅ Profitable Product
23354,2713.58,3298,263,235,2,2753.42,-39.84,2713.58,2,Hidden Loss,✅ Profitable Product
23355,24207.9,5290,726,474,7,24426.3,-218.4,24207.9,1,Stable,✅ Profitable Product
23356,13061.85,2343,451,316,2,13115.4,-53.55,13061.85,2,Hidden Loss,✅ Profitable Product
23357,1843.55,435,88,79,0,1843.55,0,1843.55,0,Low Demand,✅ Profitable Product
23358,1682.4,526,68,61,1,1689.9,-7.5,1682.4,0,Low Demand,✅ Profitable Product
23359,1840.65,979,76,73,0,1840.65,0,1840.65,0,Low Demand,✅ Profitable Product
23360,2158.05,1151,107,94,0,2158.05,0,2158.05,0,Low Demand,✅ Profitable Product
23365,992.75,1531,128,107,0,992.75,0,992.75,0,Low Demand,✅ Profitable Product
23366,1211.55,1923,141,115,0,1211.55,0,1211.55,0,Low Demand,✅ Profitable Product
23367,1797.45,2769,232,184,1,1807.85,-10.4,1797.45,2,Hidden Loss,✅ Profitable Product
23368,1394.45,2149,180,134,2,1398.35,-3.9,1394.45,2,Hidden Loss,✅ Profitable Product
23369,1053.29,901,95,80,0,1053.29,0,1053.29,0,Low Demand,✅ Profitable Product
23370,1648.86,1358,107,86,1,1650.11,-1.25,1648.86,0,Low Demand,✅ Profitable Product
23371,1783.97,1505,133,98,0,1783.97,0,1783.97,0,Low Demand,✅ Profitable Product
23372,1502.72,1280,100,76,1,1522.72,-20,1502.72,0,Low Demand,✅ Profitable Product
23373,1241.66,1563,88,86,0,1241.66,0,1241.66,0,Low Demand,✅ Profitable Product
23374,1930.96,2428,125,108,3,1944.08,-13.12,1930.96,0,Low Demand,✅ Profitable Product
23375,1067.32,1326,89,85,1,1068.14,-0.82,1067.32,0,Low Demand,✅ Profitable Product
23376,990.78,2618,114,104,1,1000.14,-9.36,990.78,0,Low Demand,✅ Profitable Product
23377,466.05,1195,81,69,1,469.17,-3.12,466.05,0,Low Demand,✅ Profitable Product
23378,1272.93,3419,144,127,0,1272.93,0,1272.93,0,Low Demand,✅ Profitable Product
23379,428.01,1175,50,49,0,428.01,0,428.01,0,Low Demand,✅ Profitable Product
23380,797.73,2123,96,86,2,811.77,-14.04,797.73,0,Low Demand,✅ Profitable Product
23381,549.69,1487,64,59,0,549.69,0,549.69,0,Low Demand,✅ Profitable Product
23382,6091.29,1695,166,136,3,6155.04,-63.75,6091.29,2,Hidden Loss,✅ Profitable Product
23388,3170.95,793,135,115,0,3170.95,0,3170.95,0,Low Demand,✅ Profitable Product
23389,4209.2,1048,206,159,1,4217.5,-8.3,4209.2,2,Hidden Loss,✅ Profitable Product
23390,2884.6,724,147,117,1,2888.75,-4.15,2884.6,0,Low Demand,✅ Profitable Product
23391,1458.15,361,69,58,0,1458.15,0,1458.15,0,Low Demand,✅ Profitable Product
23392,1125.76,568,79,70,1,1175.68,-49.92,1125.76,0,Low Demand,✅ Profitable Product
23393,2805,748,207,165,6,2883.75,-78.75,2805,2,Hidden Loss,✅ Profitable Product
23394,1481.25,395,119,90,0,1481.25,0,1481.25,0,Low Demand,✅ Profitable Product
23395,2578.23,689,180,141,5,2604.48,-26.25,2578.23,2,Hidden Loss,✅ Profitable Product
23396,2289.48,612,165,134,1,2304.48,-15,2289.48,0,Low Demand,✅ Profitable Product
23397,4010.2,428,181,139,5,4069.9,-59.7,4010.2,2,Hidden Loss,✅ Profitable Product
23398,498.38,590,58,53,1,499.23,-0.85,498.38,0,Low Demand,✅ Profitable Product
23399,1546.43,1823,176,146,0,1546.43,0,1546.43,0,Low Demand,✅ Profitable Product
23400,2234.86,446,96,76,1,2247.36,-12.5,2234.86,0,Low Demand,✅ Profitable Product
23401,2136.76,440,73,59,3,2155.51,-18.75,2136.76,0,Low Demand,✅ Profitable Product
23402,1031.67,281,55,47,0,1031.67,0,1031.67,0,Low Demand,✅ Profitable Product
23403,1972.81,593,113,80,3,1984.06,-11.25,1972.81,0,Low Demand,✅ Profitable Product
23404,3965.03,940,150,104,14,4108.58,-143.55,3965.03,2,Hidden Loss,⚠️ High Return Risk
23405,1133,236,58,54,1,1137.95,-4.95,1133,0,Low Demand,✅ Profitable Product
23406,2136.04,432,96,65,2,2154.79,-18.75,2136.04,0,Low Demand,✅ Profitable Product
23407,2386.92,244,122,103,4,2446.62,-59.7,2386.92,0,Low Demand,✅ Profitable Product
23408,615.68,296,62,53,3,644.8,-29.12,615.68,0,Low Demand,✅ Profitable Product
23409,745.47,201,43,39,2,771.72,-26.25,745.47,0,Low Demand,✅ Profitable Product
23410,281.95,35,19,16,1,290.1,-8.15,281.95,0,Low Demand,✅ Profitable Product
23411,1011.6,216,47,42,1,1016.55,-4.95,1011.6,0,Low Demand,✅ Profitable Product
23412,2254.14,349,72,64,1,2269.14,-15,2254.14,0,Low Demand,✅ Profitable Product
23413,713.4,148,44,34,1,763.2,-49.8,713.4,0,Low Demand,✅ Profitable Product
23414,1308.21,135,63,58,1,1348.01,-39.8,1308.21,0,Low Demand,✅ Profitable Product
23415,397.35,321,46,42,1,405.6,-8.25,397.35,0,Low Demand,✅ Profitable Product
23416,155.07,123,18,18,0,155.07,0,155.07,0,Low Demand,📉 Low Performance
23417,137.76,140,21,21,0,137.76,0,137.76,0,Low Demand,📉 Low Performance
23418,1068.96,534,60,55,0,1068.96,0,1068.96,0,Low Demand,✅ Profitable Product
23419,895.04,437,62,56,1,897.12,-2.08,895.04,0,Low Demand,✅ Profitable Product
23420,332.8,160,28,26,0,332.8,0,332.8,0,Low Demand,✅ Profitable Product
23421,320.32,154,26,24,0,320.32,0,320.32,0,Low Demand,✅ Profitable Product
